document_title,eisenhower_url,naid,collection,topic,bibliography_matches,matched_bibliography_files,unit_record_matches,matched_unit_records
"Cable, Montgomery to Eisenhower, December 25, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-043.pdf,12125674,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Cable, Montgomery to Eisenhower, December 26, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-044.pdf,12125681,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Letter, Montgomery to Eisenhower re operational control of 12 and 21 Army Groups, December 29, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-045.pdf,12125686,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Outline Plan of Operations, December 31, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-047.pdf,12125699,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,0,,0,
"Letter, Eisenhower to Montgomery re Outline Plan, December 31, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-046.pdf,12125692,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Cable, Montgomery to Eisenhower, January 2, 1945",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-034.pdf,12125642,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,17,cbl_smith_to_eisenhower_5_jan_44_eisenhower_personal_files_see_bibliographical_n_01KQ6GA50AS799AW9QN2XEJA88.json; cbl_eisenhower_to_smith_6_jan_44_eisenhower_personal_files_01KQ67WBVNV4BFF7NV7N3466N9.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Letter, Montgomery to Bradley, January 12, 1945",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-035.pdf,12125643,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,13,letter_bradley_to_ocmh_01KPT0QECHFY0004RNQZJMKRVX.json; cbl_smith_to_eisenhower_5_jan_44_eisenhower_personal_files_see_bibliographical_n_01KQ6GA50AS799AW9QN2XEJA88.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ltr_bradley_to_ocmh_7_jan_55_01KPVRCPMKZSZJ2PFFF8DJMFRN.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Letter, Eisenhower to Marshall, January 12, 1945",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-033.pdf,12123688,"DDE Pre-Presidential Papers, Principal File, Box 80",Ardennes,16,cbl_smith_to_eisenhower_5_jan_44_eisenhower_personal_files_see_bibliographical_n_01KQ6GA50AS799AW9QN2XEJA88.json; cbl_eisenhower_to_smith_6_jan_44_eisenhower_personal_files_01KQ67WBVNV4BFF7NV7N3466N9.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; proceedings_of_the_2d_anfa_meeting_01KPVZDX781AG182YZT7ZCMSVN.json; the_chiefs_of_staff_conference_01KQ66H07MS9YRCYHBCR9WZWVB.json,0,
"Cable, Montgomery to Eisenhower re conclusion of Ardennes campaign, January 16, 1945",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-036.pdf,12125644,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,17,cbl_smith_to_eisenhower_5_jan_44_eisenhower_personal_files_see_bibliographical_n_01KQ6GA50AS799AW9QN2XEJA88.json; cbl_eisenhower_to_smith_6_jan_44_eisenhower_personal_files_01KQ67WBVNV4BFF7NV7N3466N9.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Letter, J. Lawton Collins to James L. Collins, January 16, 1945",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/008-010.pdf,12113405,"J. Lawton Collins Papers, Box 3",Ardennes,16,interv_with_collins_01KTC1KQ2AKNVZN2QZ5KZ2X8NR.json; operations_memorandum_76_26_august_1944_01KQ7YBJ3J746856VX9XCP6C7Q.json; talk_19_jan_48_01KQ9HCCJ01G8JAZVR8B8YX69M.json; interv_with_collins_25_jan_54_01KT9R97N2A0S7KW6T9X03MYP9.json; collins_talk_01KPT0EQ77V41WC6Q5PPMFGY2V.json,0,
