document_title,eisenhower_url,naid,collection,topic,bibliography_matches,matched_bibliography_files,unit_record_matches,matched_unit_records
Reel 143 16th Inf Regt Oran Campaign 8-16 Nov 1942 [597-601],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,"SMITH, WALTER BEDELL: Collection of World War II Documents, 1941-45 Box 24",North African Campaign (Subject Guide),66,memorandum_wp_42_311_21_july_1942_01KPVZ43PRCM4G6HQEF9R8J9QG.json; operations_memorandum_76_26_august_1944_01KQ7YBJ3J746856VX9XCP6C7Q.json; operations_in_western_europe_01KPT6ACQE3HS893E3CEJKVAJ1.json; memorandum_for_gen_bradley_01KPTAJAFEFBSWYEAJRJB6DRSQ.json; les_allies_aux_portes_davranches_01KPSQKY2FKSM8HFNA41HX9CCB.json,0,
Researcher may want to check other reels to for reference to Operation TORCH and North,https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,"SMITH, WALTER BEDELL: Collection of World War II Documents, 1941-45 Box 25",North African Campaign (Subject Guide),23,torch_01KPVZ4Z9C3SRVEJCJM5ACARPE.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; notes_of_a_conference_held_at_the_white_house_at_830_pm_july_30_1942_01KPT6HDB14AJS642G511P2AJ1.json; memorandum_for_wd_classified_mc_commander_for_torch_01KPVZ4XX941T9WPEGJTYTETB3.json; torch_and_the_european_theater_of_operations_the_administrative_and_logistical_h_01KPVZQ8EKR6TF67YZ2SQNHGSP.json,0,
"Service: Pilot, 97th Bomber Group, Europe; flew DDE from Gibraltar to North Africa,",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
Maps [French map of Casablanca; road map of Northwest Africa and the area from,https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),25,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; ccs_56th_mtg_14_jan_43_01KPT6SHVNEYQB346DARHTT0PH.json; ccs_55th_meeting_minutes_14_january_1943_01KPT6RW6F0EDS7SPFQSF9FD8B.json; cos_43_105_0_final_01KPT6YR2B9DEYN5BZ2377GZD5.json; annex_to_3d_br_cos_casablanca_mtg_01KQ659CXKBD31KQX1GCG37VC8.json,0,
Casablanca to Rabat],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),16,ccs_56th_mtg_14_jan_43_01KPT6SHVNEYQB346DARHTT0PH.json; ccs_55th_meeting_minutes_14_january_1943_01KPT6RW6F0EDS7SPFQSF9FD8B.json; cos_43_105_0_final_01KPT6YR2B9DEYN5BZ2377GZD5.json; annex_to_3d_br_cos_casablanca_mtg_01KQ659CXKBD31KQX1GCG37VC8.json; note_by_minister_of_defence_01KPT6RY1DEAM56SV56GDMWDPJ.json,0,
"Service: WAC, North Africa & Italy",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
Papers [experiences being a WAC in Africa and Italy; letters describe what her job was,https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: II Corps, North Africa & Europe",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),1083,second_br_army_g_2_to_xix_corps_g_2_01KPT0Q6M0WRKZ8WJX7ES7YR8Q.json; rpt_of_abn_phase_101st_abn_div_and_a_graphic_account_of_the_82d_airborne_divisio_01KTC74CC2R7R21SB7XTTAPC27.json; vii_corps_fo_12_8_nov_44_01KT7ZDAVWGPFB4P95PZFS035S.json; 90th_div_msg_1105_8_jul_and_viii_corps_msg_0940_9_jul_viii_corps_g_3_jnl_and_fil_01KPVTVWPVBHW2AX91673RS3ST.json; xii_corps_spearhead_of_pattons_third_army_01KS45GYFK1SZHTS9E3EGA4AGJ.json,0,
"Unit History - II Corps [history of II Corps is the story of all its members, living and",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),1076,second_br_army_g_2_to_xix_corps_g_2_01KPT0Q6M0WRKZ8WJX7ES7YR8Q.json; rpt_of_abn_phase_101st_abn_div_and_a_graphic_account_of_the_82d_airborne_divisio_01KTC74CC2R7R21SB7XTTAPC27.json; vii_corps_fo_12_8_nov_44_01KT7ZDAVWGPFB4P95PZFS035S.json; 90th_div_msg_1105_8_jul_and_viii_corps_msg_0940_9_jul_viii_corps_g_3_jnl_and_fil_01KPVTVWPVBHW2AX91673RS3ST.json; xii_corps_spearhead_of_pattons_third_army_01KS45GYFK1SZHTS9E3EGA4AGJ.json,0,
"Service: 3156 Signal Service Co, North Africa",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
of photos of Brown’s service in Algiers],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),3,meetings_at_algiers_between_churchill_marshall_eisenhower_and_others_29_and_31_m_01KQ661Y58YA3665B36XBZ642B.json; min_of_trident_conf_01KQ66201N0XKS2GSP9PFGYR1A.json; minutes_of_trident_conference_01KPT989RHJCGB6QNARFXXPQ7K.json,0,
Service: son of serviceman in North Africa,https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: 2nd FA Bn, North Africa & Europe",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: Donated item from Richard Lipps in 513 Bomber Sq, North Africa",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: 133rd Inf Regt, 34th Inf Div, North Africa & Italy",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: 3486 Ordnance Maintenance Co., 5th Army, North Africa and Italy",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
Memorabilia [Clipping re Mr. Hess in North Africa; message from FDR and DDE in,https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Photographs [photos of Mr. Hess, North African scenery, North African Cemetery,]",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
French army in North Africa],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
Tourist Literature (1)(2) [pocket guide to North Africa],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
Tourist Literature - Post Cards (1)-(3) [from Italy and North Africa],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,WORLD WAR II PARTICIPANTS AND CONTEMPORARIES: Papers Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: Daughter of Wade Walter Nyquist, soldier in North Africa, POW",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
Africa; experiences as POW in Italy & Germany],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: 133 Inf Regt, North Africa",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: Wife of Robert L. Mason, 58 FA Bn, North Africa",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Christmas cards from North Africa, Germany, and elsewhere, 1944; letter home re N.",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"African campaign, 1943; letters from war dept. re condition of Mr. Mason]",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: 48th Fighter Squadron, North Africa",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
North Africa & Italy,https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
North Africa & Italy],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: Army Air Corps, North Africa & Europe",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
experiences of a pilot in N. Africa and Europe],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
Nels Quam Memoir [sailing to North Africa 1944; German attack on ship; work in,https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: Cousin of LTC Kimball R. Richmond, 16th Inf Regt, North Africa & Europe",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: nephew of John M. Rogers, 1st Inf Div, North Africa and Europe",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: 1st Armored Div, N. Africa & Italy",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),25,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; telecon_gause_and_schneider_0430_23_aug_lxxxi_corps_ktb_01KPVNZ7B1CVR2Q5WCSMMFS3HB.json; overseas_pictorial_history_of_headquarters_battery_231st_armored_field_artillery_01KPSSFPA3XFDH39Z73H4W89CD.json; authors_interviews_with_former_6th_armored_division_personnel_01KPVGNAFFS1J09YGSKPM4P6AR.json; 391st_armd_fa_bn_aar_nov_44_01KTA7SA0ES6YVE005EWTJNR0R.json,0,
"Africa and Italy, 1943-45]",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: 149th WAAC Post Headquarters Company, North Africa",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
William Bright Interview [Bright’s service as navy gunner in North Africa],https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: Medical Corps, North Africa",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
"Service: 175 Engrs, North Africa & Italy",https://www.eisenhowerlibrary.gov/sites/default/files/research/subject-guides/pdf/north-african-campaign.pdf,,service as a military chaplain is in the Dwight D. Eisenhower Library Collection of Box 1,North African Campaign (Subject Guide),9,cos_44_5th_mtg_o_7_jan_44_01KPTACG03MF8E50PDEB4W5XC5.json; a_history_of_the_second_united_states_armored_division_01KTC6TXE50NV5RV9J4CCJD22P.json; ch_i_01KQ663BC560ZY6C8AQKGCD1JE.json; a_history_of_the_second_united_states_armored_division_01KTACETX1WEW4BZEBHEHX565D.json; general_krueger_report_01KRSWWNXWFXBX6BK5CRG08Q16.json,0,
