eisenhower_record,pdf_part,pdf_url,bibliography_matches,bibliography_files,people_group_matches,people_group_files,online_document_matches,online_document_urls
"55th ARMORED ENGINEER BATTALION, 1942-1945",3,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-3.pdf,0,,0,,0,
"111TH ENGINEER COMBAT BATTALION, 1940-1945",3,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-3.pdf,0,,0,,0,
"326th AIRBORNE ENGINEER BATTALION, 1942-1945",3,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-3.pdf,0,,0,,0,
"1st INFANTRY DIVISION, 1942-1945.",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"2nd INFANTRY DIVISION, 1944-1945",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,1,2d_div_g_3_jnl_01KPSQ4WFPGN5HQSVWF5GWXTEG.json,1,2nd infantry division.json,0,
"3rd INFANTRY DIVISION, 1928-1954 (bulk 1942-1946)",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"4th INFANTRY DIVISION, 1940-1945.",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,12,39th_infantry_9th_division_and_4th_division_aars_august_01KPSVVMM47F3AGF0MWDK6NSQA.json; combat_intervs_01KQ638WTAZN0NQR1HFM9PCCGA.json; combat_interviews_82d_abn_and_4th_inf_divs_01KQ6399W4K7QNM8G8S38S0G72.json; ms_b_081_01KSEP0M0HT01DMQK4PSF2E11B.json; telecon_collins_and_hobbs_1227_24_jul_ltr_collins_to_hechler_7_jul_45_fusa_msg_1_01KPSNZYV7V3ZAASM4T6T4SC9M.json,0,,0,
"5th INFANTRY DIVISION, 1943-1946",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,79,90th_division_after_action_report_for_november_01KRSXTF403ECJ9XDJM9P82NKM.json; after_action_reports_and_unit_journals_of_the_xx_corps_7th_armored_division_5th__01KRSK04YH0XEZNT5E6HNBXR56.json; 5th_inf_div_g_3_jnl_01KSAFVNVBTXHCX8K748XBBKSK.json; 5th_inf_div_g_3_jnl_01KS45H7VPJ58KT3EH7Y6W2GJ6.json; the_american_records_for_both_the_planning_and_the_operational_phases_of_the_bat_01KS85HESBAC3RAR288QPFR7DT.json,1,5th infantry division.json,0,
"6th INFANTRY DIVISION, 1939-1949.",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"7th INFANTRY DIVISION, 1944-1948",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"9th INFANTRY DIVISION, 1942-1947.",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,3,39th_infantry_9th_division_and_4th_division_aars_august_01KPSVVMM47F3AGF0MWDK6NSQA.json; 9th_infantry_division_g_3_journal_17_july_1944_01KPT48R5Q7BEB5JZ6B5TE33PT.json; 3d_armd_1st_and_9th_div_aars_01KPT0RQ9B3ZZ8CT0P53T3R4QX.json,0,,0,
10th MOUNTAIN DIVISION. 1942-1945.,4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"24th INFANTRY DIVISION, 1921-1949",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"25th INFANTRY Division, 1941-1950",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"26th INFANTRY DIVISION,1941-1946",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,33,aar_nov_44_01KQMYE42KDBVCDD080QXTZYAZ.json; after_action_report_november_1944_01KRHH442ME5AGREKZ5J1PG6XK.json; aar_nov_44_01KRCG1VX0H0DSR24TYYRBQ6NN.json; aar_nov_44_01KQTH69GB6HQ8MK87A86HW1SY.json; 26th_div_aar_nov_44_01KS3XGDGNMA5EAD9ZMQ4J09E1.json,0,,0,
"27th INFANTRY DIVISION, 1942-1945",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"28th INFANTRY DIVISION, 1943-1945",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,12,28th_division_aar_august_1944_01KPSY8TMQHGMAXC28K89ZYAVA.json; 28th_infantry_division_g_2_and_g_3_journals_and_files_6_nov_44_01KTC22N9FWJKQXNKTTK35JJA3.json; les_armées_françaises_dans_la_grande_guerre_tome_vii_2ème_vol_01KRSKMP8Q3PCZDF13H33H5YAN.json; release_of_28th_inf_div_01KPVBEYYAX21GK6J509Y6CCE4.json; austausch_ost_west_01KPT9YH8BYTDBM1ETRHRNA3B8.json,0,,0,
"29th INFANTRY DIVISION, 1940-1945",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,7,29_lets_go_a_history_of_the_29th_infantry_division_in_world_war_ii_01KT7XRSNDFK9HE9Z2JZTNZNED.json; 19th_div_aar_oct_44_01KT9QWZ9H3NMGB6WZV2NAG7AG.json; 29_lets_go_a_history_of_the_29th_infantry_division_in_world_war_ii_01KTAAC8HS333D9W94AQGMXH3H.json; 29_lets_go_a_history_of_the_29th_infantry_division_in_world_war_ii_01KTC0Z91Y4YERZZSDTD5R0N6X.json; 28th_and_29th_div_aars_aug_01KPSVD9P0W7RC62VXREW2V2JG.json,1,29th infantry division.json,0,
"30TH INFANTRY DIVISION, 1940-1945",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,22,telecon_hobbs_2210_27_jul_30th_div_g_3_jnl_and_file_01KPSQB0CQT3STAWSG5W30WCD1.json; telecons_01KPVTGZRECKHCSR0AJ117RJCQ.json; 2d_armored_division_messages_1730_and_1830_26_july_01KPSPM8T28GRAP6J4XB2BNC7W.json; 30th_div_g_3_jnl_entries_1540_2100_2305_27_jul_01KPSQB65KQRS8757C5E9JRA3X.json; xix_corps_g_3_periodic_reports_54_and_55_01KPSQCF7WW6F7YMXAWAF34GNR.json,0,,0,
"31st INFANTRY DIVISION, 1942-1945",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"32nd INFANTRY DIVISION, 1940-1946",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,0,,0,
"35th INFANTRY DIVISION, 1940-1945",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,2,telecon_12_jul_35th_div_g_3_jnl_file_01KPT3X0KRSZZWEG87G8XTDBEY.json; fo_13_2000_7_aug_01KPVK47SVZWFPS96Z4S4RJ2PE.json,1,35th infantry division.json,0,
"36th INFANTRY DIVISION, 1941-1945.",4,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-4.pdf,0,,1,36th infantry division.json,0,
"41st INFANTRY DIVISION, 1943-1945",5,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-5.pdf,0,,0,,0,
"42nd INFANTRY DIVISION, 1943-1946",5,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-5.pdf,0,,0,,0,
"44th INFANTRY DIVISION, 1942-1945",5,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-5.pdf,0,,1,44th infantry division.json,0,
"45th INFANTRY DIVISION, 1940-1945, 1951",5,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-5.pdf,0,,0,,0,
"69th INFANTRY DIVISION, 1943-1945",5,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-5.pdf,0,,0,,0,
"71ST INFANTRY DIVISON, 1944-1946",5,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-5.pdf,0,,1,71st infantry.json,0,
"77th INFANTRY DIVISION, 1942-1946",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,1,77th infantry division.json,0,
"78th INFANTRY DIVISION, 1942-1946",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"79th INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,40,army_group_g_ktb_fifth_panzer_army_ktb_lviii_panzer_corps_ktb_nr_3_and_nr_4_xlvi_01KS8JV7Z7R06YNM318JMJF4FB.json; 2d_french_armored_division_after_action_report_01KRSK4084CQX32B3Y9ZYKGAB2.json; personal_reminiscences_prepared_for_the_historical_division_by_the_enemy_command_01KRSW6X5KQ9GKGZ73R27J79EB.json; ktb_kriegstagebuch_01KRSK43PRGK7PKRR01NB2BY8W.json; army_group_g_ktb_fifth_panzer_army_ktb_lviii_panzer_corps_ktb_nr_3_and_nr_4_and__01KS3JS2SXXH4AS2N356D10FGZ.json,0,,0,
"80th INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,27,xii_corps_spearhead_of_pattons_third_army_01KS45GYFK1SZHTS9E3EGA4AGJ.json; historical_division_combat_interviews_80th_infantry_division_01KQHSTME3WAS6ZF1DF5AQBRFJ.json; xii_corps_spearhead_of_pattons_third_army_01KSAFTTMV4W80TVPZDKSY65AP.json; xii_corps_spearhead_of_pattons_third_army_01KS12ASMADG3Z6EE913AMT2JV.json; xii_corps_spearhead_of_pattons_third_army_01KSDN26V7Q2DK7H51R29YFK8B.json,1,80th infantry division.json,0,
"83rd INFANTRY DIVISION, 1942-1946",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"85th INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,4,aufstellung_und_einsatz_der_85_infanterie_division_im_westen_feb_nov_44_01KTC7173JCPERQ8C3KACKMT6K.json; aufstellung_und_einsatz_der_85_infanterie_division_im_westen_feb_nov_44_01KT828SCW11XAV1CK337A5FRX.json; aufstellung_und_einsatz_der_85_infanterie_division_im_westen_feb_nov_44_01KT9TA3HSA5407W8HHWYZHSTV.json; aufstellung_und_einsatz_der_85_infanterie_division_im_westen_feb_nov_44_01KTA82AWF7Z9G6KBPJKYMQ6EQ.json,0,,0,
86th INFANTRY DIVISION. 1942-1945.,6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"88th INFANTRY DIVISION, 1942-1947",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"89th INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"90th INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,29,after_action_reports_and_unit_journals_of_the_xx_corps_7th_armored_division_5th__01KRSK04YH0XEZNT5E6HNBXR56.json; fusa_ig_ltr_failure_of_elements_of_the_358th_inf_90th_div_to_resist_a_german_cou_01KPSMXZTQN8WG740AMRENZVQE.json; pass_in_review_the_fifth_infantry_division_in_eto_01KRSVAJ9QN6QEBP7R9TDQJBRG.json; anlagen_to_the_ktbs_of_army_group_g_ob_west_and_okw_01KRSVAT9RBR0A3KYEBV2BP4SM.json; telephone_journals_attached_to_the_daily_g_3_journals_of_the_7th_armored_divisio_01KRSVSAVXTC06CJ61X5QQK3AV.json,1,90th infantry division.json,0,
"91st INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,1,91st infantry division.json,0,
"92nd INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"93rd INFANTRY DIVISION, 1942-1946",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"98th INFANTRY DIVISION, 1942-1946.",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"99th INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,1,99th_infantry_division_official_records_01KTABRX2RS6CS41SSP8VXSTWQ.json,0,,0,
"100th INFANTRY DIVISION, 1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"103rd INFANTRY DIVISION, 1943-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"104th INFANTRY DIVISION,1942-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,1,104th infantry division.json,0,
"106th INFANTRY DIVISION, 1943-1945",6,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-6.pdf,0,,0,,0,
"16th INFANTRY REGIMENT, 1936-1946",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,1,16th infantry regiment.json,1,https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/journal-entries.pdf
"Subseries I: REGIMENTAL REPORTS, 1936-1946",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"Subseries I: BATTALION, COMPANY & MISCELLANEOUS REPORTS, 1942-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"26th INFANTRY REGIMENT, 1901-1952",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,1,26th infantry regiment.json,0,
"36th ARMORED INFANTRY REGIMENT, 1941-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"38th INFANTRY REGIMENT, 1942-1949",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"47th INFANTRY REGIMENT, 1940-1946",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,3,penetration_of_the_siegfried_line_by_the_47th_infantry_regiment_01KTACD2595JNAHQZ0VKPC810N.json; combat_interview_file_september_1944_penetration_of_the_siegfried_line_by_the_47_01KT81YQ5JXTNPHKS972QFS84C.json; penetration_of_the_siegfried_line_by_the_47th_infantry_regiment_01KTC6HFWG10BTQ29H806BEX0T.json,0,,0,
"SUBSERIES I: REGIMENTAL REPORTS, 1940-1946",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"SUBSERIES II: BATTALION AND COMPANY REPORTS, 1940-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"65th INFANTRY REGIMENT, 1941-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"112th INFANTRY REGIMENT, 1943-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"115th INFANTRY REGIMENT, 1944-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,1,115th_infantry_regiment_s_3_journal_01KPT4QPN7TFHTM5538XPR0B1E.json,1,115th infantry regiment.json,1,https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/1944-06-after-action-report.pdf
"116th INFANTRY REGIMENT, 1941-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,8,115th_and_116th_inf_regts_s_3_jnls_01KPT4TDGQQMHP12F0GS4BH0VX.json; 116th_infantry_regiment_journal_18_june_1944_01KPT4TQAKM70A3BTVGWBEMFQ8.json; 116th_infantry_regimental_journals_and_after_action_reports_01KTAAKWJ383MBHMKDZXKT6GXD.json; 29th_division_g_3_journal_01KPVWXMGJ2YPFYD50V76HR250.json; 116th_infantry_regiment_3rd_battalion_journal_01KPVWY2B9YAW1KRFJTMJ3D6VW.json,1,116th infantry regiment.json,0,
"141st INFANTRY REGIMENT, 1940-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"142nd INFANTRY REGIMENT, 1944-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"143rd INFANTRY REGIMEMT, 1940-1944",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"162nd INFANTRY REGIMENT, 1940-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"SUBSERIES I: REGIMENTAL RECORDS, 1940-1045.",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"SUBSERIES II: BATTALION AND COMPANY REPORTS, 1944-1945",7,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-7.pdf,0,,0,,0,
"163rd INFANTRY REGIMENT, 1940-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"I. REGIMENT REPORTS, 1940-1945. 2 containers",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"II. BATTALION AND COMPANY REPORTS, 1940-1945. 5 folders",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"168th INFANTRY REGIMENT, 1937-1941",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"179th INFANTRY REGIMENT, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"180th INFANTRY REGIMENT, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"186th INFANTRY REGIMENT, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"188th PARACHUTE INFANTRY REGIMENT, 1944-1948.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"194th GLIDER INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"201st INFANTRY REGIMENT, 1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"188th PARACHUTE INFANTRY REGIMENT, 1944-1948.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"194th GLIDER INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"201st INFANTRY REGIMENT,1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"222nd INFANTRY REGIMENT, 1944-1946.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"232nd INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"242nd INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"232nd INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"242nd INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"253rd INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"254th INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"255th INFANTRY REGIMENT, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"253rd INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"254th INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
255th INFANTRY REGIMENT. 1944-1945,8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"259th INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"260th INFANTRY REGIMENT, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"259th INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"260th INFANTRY REGIMENT, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"263rd INFANTRY REGIMENT, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"263rd INFANTRY REGIMENT, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"264th INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"271st INFANTRY REGIMENT, 1943-1945.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"272nd INFANTRY REGIMENT, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"271st INFANTRY REGIMENT, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"272nd INFANTRY REGIMENT, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"310th INFANTRY REGIMENT, 1942-1946",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"311th INFANTRY REGIMENT, 1942-1946",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"327th INFANTRY REGIMENT, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"361st INFANTRY REGIMENT, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"362nd INFANTRY REGIMENT, 1944-1945.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"363rd INFANTRY REGIMENT, 1942-1945.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"364th INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"365th INFANTRY REGIMENT, 1944-1945.",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"394th INFANTRY REGIMENT, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"407th INFANTRY REGIMENT, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"442nd INFANTRY REGIMENT, 1943-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"501st PARACHUTE INFANTRY REGIMENT, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"502nd PARACHUTE INFANTRY REGIMENT, 1941-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"503rd PARACHUTE REGIMENTAL COMBAT TEAM, 1941 – 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"504th PARACHUTE INFANTRY REGIMENT, 1942 – 1948",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"505th PARACHUTE INFANTRY REGIMENT, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"506th PARACHUTE INFANTRY REGIMENT, 1942-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"507th PARACHUTE INFANTRY REGIMENT, 1944-1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"2nd RANGER INFANTRY Battalion, 1943, 1945",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
"3rd RANGER INFANTRY BATTALION, 1943",8,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-8.pdf,0,,0,,0,
